ieset_city_id,city_rank_2025,ghsl_city_id,city_name,country_name,country_iso3,population_2025,area_km2_2025,density_per_km2_2025,longitude,latitude,source_dataset,source_system,source_ghsl_city_id_column,source_city_name_column,source_population_2025_column,source_country_name_column,source_country_iso3_column,source_area_km2_2025_column,source_longitude_column,source_latitude_column,morphology_note
ghsl_ucdb_r2024a:10933,1,10933,Guangzhou,China,,42987704,6454,6660.629687015804,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:5472,2,5472,Jakarta,Indonesia,,40545126,4614,8787.413524057218,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:6090,3,6090,Dhaka,Bangladesh,,37307160,6611,5643.194675540765,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:5929,4,5929,Tokyo,Japan,,33155907,5165,6419.343078412391,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:7963,5,7963,New Delhi,India,,31422508,2139,14690.279569892473,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:11345,6,11345,Shanghai,China,,30678616,3128,9807.74168797954,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:2323,7,2323,Manila,Philippines,,25921189,2555,10145.279452054794,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:4605,8,4605,Cairo,Egypt,,25230325,1680,15018.050595238095,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:11352,9,11352,Kolkata,India,,23314585,2482,9393.466962127317,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:348,10,348,Seoul,South Korea,,22261692,2282,9755.34268185802,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:2457,11,2457,Karachi,Pakistan,,21031703,834,25217.869304556356,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:7599,12,7599,Mumbai,India,,20453270,738,27714.457994579945,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:7277,13,7277,São Paulo,Brazil,,19485158,2111,9230.297489341545,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:2315,14,2315,Bangkok,Thailand,,19048032,2697,7062.6740823136815,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:8745,15,8745,Beijing,China,,18150576,2179,8329.77329050023,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:5402,16,5402,Mexico City,México,,17639164,2134,8265.775070290534,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
ghsl_ucdb_r2024a:9558,17,9558,Bengaluru,India,,15178533,1008,15058.068452380952,,,GHSL Urban Centre Database R2024A,ghsl_ucdb_r2024a,ID_UC_G0,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_CNT_GAD_2025,,GC_UCA_KM2_2025,,,GHSL urban centre morphology; do not treat as a legal jurisdiction without crosswalks.
