movement_id,country_iso3,movement_years,treated_years,treated_obs,developmentalism_alignments,alignment_score,treatment_value_mean,treatment_value_max,rent_mean_treated_years,rent_max_treated_years,resource_country_fallback_years,doctrine_clue,policies_count,outcome_hypotheses_count,confidence_risk_notes,movement_file
angola_mpla_socialist_oil_state_1975_1991,AGO,1975-1991,1975-1991,17,developmentalism:partially_aligned,0.5,0.500,0.500,15.76,29.10,5,"The MPLA's first post-independence governing project joined Marxist-Leninist state-building, wartime centralisation, and reliance on offshore...",3,0,partial developmentalism alignment; 5/17 treated years use resource-country fallback; resource doctrine explicit,movements/angola_mpla_socialist_oil_state_1975_1991.yaml
uae_emirate_state_capitalism_1971_present,ARE,1971-2026,1971-2026,56,developmentalism:aligned,1,1.000,1.000,24.15,56.67,9,Rentier federation built on Abu Dhabi oil revenues (roughly 90% of federal proven reserves) redistributed through sovereign-wealth vehicles an...,6,2,9/56 treated years use resource-country fallback; long umbrella window; resource doctrine explicit,movements/uae_emirate_state_capitalism_1971_present.yaml
uae_zayed_consolidation_1976_1990,ARE,1976-1990,1976-1990,15,developmentalism:aligned,1,1.000,1.000,30.80,56.67,0,Zayed-era doctrine consolidated the 1971 federation into a working rentier-federal state-capitalist model during two oil-price shocks. Economi...,4,0,mechanical/derived alignment; resource doctrine explicit,movements/uae_zayed_consolidation_1976_1990.yaml
uae_zayed_oil_price_collapse_response_1985_1995,ARE,1985-1995,1985-1995,11,developmentalism:partially_aligned,0.5,1.000,1.000,23.98,36.60,0,Economic school: rentier-federalism with twin tracks Abu Dhabi's cautious oil-financed stabilisation versus Dubai's trade-and-services diversi...,3,0,partial developmentalism alignment; mechanical/derived alignment; resource doctrine explicit,movements/uae_zayed_oil_price_collapse_response_1985_1995.yaml
uae_zayed_late_era_1995_2004,ARE,1995-2004,1995-2004,10,developmentalism:partially_aligned,0.5,1.000,1.000,18.23,22.38,0,Economic school: emirate-level state capitalism with free-zone arbitrage Abu Dhabi retained oil-rent centralism while Dubai executed the free-...,5,0,partial developmentalism alignment; mechanical/derived alignment; resource doctrine explicit,movements/uae_zayed_late_era_1995_2004.yaml
uae_khalifa_early_era_2004_2014,ARE,2004-2014,2004-2014,11,developmentalism:aligned,1,1.000,1.000,25.48,29.78,0,"Consolidation phase after Sheikh Zayed's death in November 2004 under President Khalifa, with PM Mohammed bin Rashid driving Dubai-side expans...",6,2,resource doctrine explicit,movements/uae_khalifa_early_era_2004_2014.yaml
uae_khalifa_global_financial_crisis_2008_2010,ARE,2008-2010,2008-2010,3,developmentalism:aligned,1,1.000,1.000,23.74,27.71,0,Emirate-level federal-rescue doctrine when Dubai World's 25 Nov 2009 debt-standstill request on ~$26bn of obligations threatened a regional cr...,3,1,resource doctrine explicit,movements/uae_khalifa_global_financial_crisis_2008_2010.yaml
uae_mbz_crown_prince_era_2014_2022,ARE,2014-2022,2014-2022,9,developmentalism:aligned,1,1.000,1.000,16.11,23.97,1,De-facto rule phase in which MBZ set strategic direction while Khalifa remained nominal President after his 2014 stroke. Economic school: sove...,7,2,1/9 treated years use resource-country fallback; resource doctrine explicit,movements/uae_mbz_crown_prince_era_2014_2022.yaml
uae_mbz_presidency_2022_present,ARE,2022-2026,2022-2026,5,developmentalism:aligned,1,1.000,1.000,,,5,Sovereign-directed post-oil diversification translated from de-facto rule into formal presidency after Khalifa's death. Economic school: state...,6,2,5/5 treated years use resource-country fallback; resource doctrine explicit,movements/uae_mbz_presidency_2022_present.yaml
argentina_duhalde_pj_transition_2002_2003,ARG,2002-2003,2002,1,developmentalism:aligned,1,1.000,1.000,5.63,5.63,0,Heterodox asymmetric-devaluation + pesificacion emergency government reconstructing price signals after corralito. Five doctrinal pillars: (a)...,5,2,resource link mainly WDI-threshold driven,movements/argentina_duhalde_pj_transition_2002_2003.yaml
argentina_nestor_kirchner_2003_2007,ARG,2003-2007,2005-2006,2,developmentalism:aligned,1,1.000,1.000,5.48,5.78,0,"Heterodox Peronist recovery stitching together commodity boom, debt haircut, transfer expansion, and institutional reset. Five doctrinal pilla...",5,2,resource link mainly WDI-threshold driven,movements/argentina_nestor_kirchner_2003_2007.yaml
australia_howard_coalition_1996_2007,AUS,1996-2007,2006-2007,2,developmentalism:aligned,1,1.000,1.000,5.90,6.51,0,Economic school: liberal-conservative supply-side + middle-class welfare expansion 'aspirational' fiscal model combining broad-based consumpti...,6,0,mechanical/derived alignment; resource link mainly WDI-threshold driven,movements/australia_howard_coalition_1996_2007.yaml
australia_rudd_alp_2007_2010,AUS,2007-2010,2007-2008;2010,3,developmentalism:partially_aligned,0.5,0.667,1.000,7.70,8.53,0,ALP Keynesian GFC-response with progressive-taxation-reform ambition and climate-policy pivot. Economic school: textbook Keynesian counter-cyc...,5,2,partial developmentalism alignment; resource doctrine explicit,movements/australia_rudd_alp_2007_2010.yaml
