position_id	claim_index	linked_hypothesis_id	school_prediction	current_polarity	heuristic_guess	school_claim	hypothesis_claim
austrian	0	m2_expansion_correlates_with_asset_price_inflation	supported	aligned	uncertain	Monetary expansion produces asset price inflation with a lag across developed economies.	Monetary base expansion (M2 growth) correlates with asset price inflation in equities and real estate with a lag, measurable via cointegration and lead-lag analysis across major developed economies 2008-2025. The relationship is asymmetric across asset classes and does not require a strict Austrian Business Cycle mechanism to hold. 
austrian	1	hyperinflation_requires_fiscal_dominance	supported	aligned	uncertain	Hyperinflation requires fiscal dominance as root cause.	Every documented hyperinflation episode since 1900 (Weimar Germany, post-WW2 Hungary, Yugoslavia 1990s, Zimbabwe 2000s, Venezuela 2010s-2020s, among others) was preceded by fiscal dominance — a state of affairs where monetary policy is subordinated to financing government deficits that cannot be financed by taxation or market-rate borrowing. Monetary mismanagement alone, absent fiscal dominance, has not produced hyperinflation in the historical record. 
austrian	2	fiat_expansion_erodes_currency_purchasing_power_long_run	supported	aligned	uncertain	Fiat currencies lose purchasing power against hard assets over long horizons.	Over 50+ year horizons since the 1971 collapse of Bretton Woods, major fiat currencies (USD, GBP, EUR legacy components, JPY, AUD) have lost substantial purchasing power against hard assets (gold, broad commodity baskets, residential real estate). This is documented fact; the hypothesis re-establishes the pattern using provenanced public data. 
austrian	3	post_soviet_market_reform_life_expectancy	supported	aligned	uncertain	Countries that rapidly adopted market reforms after the fall of the Soviet Union experienced better long-run life expectancy than countries that retained state-socialist structures.	Following the 1989-1992 collapse of the Soviet bloc, post-communist countries that adopted market reforms rapidly (Poland, Estonia, Czech Republic, Hungary, Slovenia, Slovakia, Latvia, Lithuania — the "fast reformers") experienced faster recovery in life expectancy at birth than countries that reformed slowly or retained state-socialist economic structures (Russia, Ukraine, Belarus, Moldova, Kazakhstan — the "slow reformers"). By 2019 (pre-COVID cut-off), fast reformers' life expectancy had converged substantially toward Western European levels; slow reformers experienced a prolonged mortality crisis (1991- 2003) and a partial recovery thereafter. The gap between fast and slow reformer groups in 2019 should be at least 4 life-years, having been essentially zero in 1989. 
austrian	4	venezuela_chavismo_framework_validation	supported	aligned	aligned_guess	Venezuelan Chavismo-era policy (nationalisation + price controls + FX controls + monetary-fiscal fusion) produced systematic economic collapse relative to Latin American commodity-exporter peers.	Venezuela's post-1999 GDP per capita trajectory diverges strongly negatively from a commodity-exporter Latin American donor pool (Colombia, Ecuador, Mexico, Peru, Chile, Brazil) matched on pre-1999 outcome levels. The divergence widens materially from 2003 onward (PDVSA politicisation + price controls + FX controls), accelerates after 2013 (Maduro succession), and deepens after 2016 (oil price crash absorbed through institutional collapse). By 2020, Venezuelan GDP per capita PPP should be ≥ 40% below the donor-pool average, substantially larger than the oil-price-cycle effect alone would predict given the donor pool's own oil exposure. 
austrian	5	argentina_default_collapse_output_effects	supported	aligned	aligned_guess	Argentine convertibility and subsequent collapse (Menem 1991–2001) reflects rule-based money's appeal combined with fixed-regime rigidity risk that Austrian theory predicts.	Argentine convertibility and subsequent collapse (Menem 1991–2001) reflects rule-based money's appeal combined with fixed-regime rigidity risk that Austrian theory predicts.
austrian	6	qe_asset_inflation_vs_cpi_divergence_post_2008	supported	aligned	uncertain	Post-2008 QE programmes produced asset-price inflation without proportional consumer-price inflation — a specific empirical pattern consistent with ABCT's weaker form.	Post-2008 large-scale asset purchase programmes by the Federal Reserve, ECB, Bank of England, and Bank of Japan produced a measurable divergence between asset-price inflation (equities and residential real estate) and headline consumer-price inflation until roughly 2021. Specifically, cumulative real asset-price appreciation in these economies exceeded cumulative real consumer-price change by a large margin over 2009-2020, with the gap only closing once the 2021-2023 CPI shock materialised. The divergence is consistent with portfolio-rebalancing and safe-asset channels operating without the textbook quantity-theoretic pass-through to consumer prices, and is compatible with the scope caveat carried in the Austrian D.1.5 spec and with New Keynesian models that assign limited direct CPI pass-through to reserve expansion at the zero lower bound. 
austrian	7	central_bank_independence_inflation_discipline	supported	aligned	uncertain	Countries maintaining central bank independence experience fewer hyperinflation episodes than countries where monetary policy is subordinated to fiscal needs.	Across countries 1990-2023, higher de jure and de facto central-bank independence predicts lower mean CPI inflation and lower inflation volatility, conditional on a basic set of controls (exchange-rate regime, trade openness, fiscal balance, initial inflation level). The relationship is expected to be strongest in the tails: countries with very low CBI exhibit episodic double-digit inflation; countries with very high CBI cluster tightly around 2% targets. The claim is associational at the country-year panel level and does not by itself establish that legal reform causes inflation discipline, only that the two co-vary as the Rogoff 1985 / Cukierman 1992 / Garriga 2016 literature suggests. 
austrian	8	procyclical_fiscal_expansion_boom_bust	supported	aligned	uncertain	Unfunded government fiscal expansions during boom periods (as in Blair–Brown 2001–2007 UK and Kirchner Argentina 2003–2015) produce subsequent structural fiscal weakness.	Countries that run procyclical fiscal policy during expansions — raising primary spending or cutting revenues when output is above potential — experience larger subsequent output volatility and deeper recessions during the following downturn, compared to countries that run countercyclical or neutral fiscal stance in the same boom. The canonical positive cases include UK 2001-2008 (Blair-Brown structural loosening at the top of the cycle), Greece 1999-2009 (pre-crisis fiscal dominance masked by euro-entry credit conditions), Argentina 2003-2011 (Kirchner commodity-boom fiscal expansion), and Spain 2003-2008 (real-estate-revenue-driven primary surplus disguising structural deficit). Counter-cases include Chile (structural balance rule since 2001), Norway (fiscal guideline on oil revenue), and the Nordic post-1992 fiscal frameworks. The hypothesis is that the cross-country relationship between boom-era procyclicality and subsequent output-gap volatility is positive and robust to controls. 
austrian	9	hyperinflation_requires_fiscal_dominance	supported	aligned	uncertain	Zimbabwe's 2000–2008 land-reform-plus-monetisation episode produced hyperinflation because the central bank monetised fiscal deficits once property-right expropriation collapsed the tax base — an instance of fiscal dominance.	Every documented hyperinflation episode since 1900 (Weimar Germany, post-WW2 Hungary, Yugoslavia 1990s, Zimbabwe 2000s, Venezuela 2010s-2020s, among others) was preceded by fiscal dominance — a state of affairs where monetary policy is subordinated to financing government deficits that cannot be financed by taxation or market-rate borrowing. Monetary mismanagement alone, absent fiscal dominance, has not produced hyperinflation in the historical record. 
austrian	10	argentina_default_collapse_output_effects	supported	aligned	aligned_guess	Menem's 1991–2001 currency board succeeded at controlling inflation while rigid, but collapsed when fiscal profligacy at provincial level produced debt-service costs the fixed regime could not absorb — vindicating the Austrian warning that rule-based money cannot substitute for fiscal discipline.	Argentine convertibility and subsequent collapse (Menem 1991–2001) reflects rule-based money's appeal combined with fixed-regime rigidity risk that Austrian theory predicts.
austrian	11	milei_reforms_reduce_argentine_inflation	supported	aligned	uncertain	Milei's 2023–2024 fiscal-first shock therapy (eliminating primary deficit, ending central bank deficit monetisation) will show faster inflation stabilisation than any prior Argentine programme that tried price controls or heterodox stabilisation first.	Argentine monthly CPI inflation declines from its late-2023 peak (around 25% month-on-month in December 2023 following the 54% peso devaluation) to below 5% month-on-month within 12 months of Milei's December 2023 inauguration, and below 3% month-on- month within 18 months. The decline is faster and deeper than in any prior Argentine stabilisation episode since the 1989-1991 Austral/Convertibility period (Menem), and faster than in any of the Latin American stabilisation episodes in the IMF's post- 1990 catalogue that did not adopt dollarisation, controlling for initial inflation level. The pre-registered primary outcome is monthly CPI inflation as published by INDEC. 
austrian	12	price_controls_shortage_effect	supported	aligned	uncertain	Soviet and Chavismo-era Venezuelan price controls produced the specific pattern Austrian calculation-debate theory predicts: shortages, quality degradation, black markets, and producer exit — not merely distributional effects.	Statutory price ceilings set below plausible market-clearing prices produce measurable shortage indicators — stockouts, queue formation, black-market emergence, quality degradation, and in monetary- expansion contexts, large divergences between official and parallel- market prices. The canonical cases examined are Venezuela 2003-2023 (sustained price controls under Chavismo), Argentina under the Kirchner-Fernandez governments (Precios Cuidados 2014-2023), USSR late Brezhnev / Gorbachev era (1980-1991), and the 1973-1981 US petroleum price controls (EPCA and successors). The claim is descriptive-causal: where these episodes are well-documented, the shortage signature appears; the framework pre-registers the pattern and tests whether it holds in the listed cases using available quantitative indicators where they exist and qualitative coding where they do not. The claim is deliberately narrower than the stronger hypotheses/regulatory/price_controls_produce_shortages_ and_quality_degradation.yaml: it does not claim uniformity across all episodes, only that the pre-registered canonical cases show the signature. 
austrian	13	classical_gold_standard_vs_fiat_long_run_inflation_comparison	supported	aligned	uncertain	Pre-1914 classical-gold-standard episodes (excluding wartime suspensions) show lower long-run average inflation than any comparable-length fiat-regime sample, even if short-run price-level volatility is higher.	Pre-1914 classical-gold-standard episodes (excluding wartime suspensions) show lower long-run average inflation than comparable-length fiat-regime samples (post-1971) in the same or equivalent economies, even if short-run price-level volatility is higher under gold. The test compares long-horizon CPI geometric means across regimes, controlling for wartime suspension windows. 
