position_id	hypothesis_id	shared_axes	framing_assessment	proposed_fix
austrian	unfunded_fiscal_expansion_above_zlb_bond_market_response	fiscal.spending_level,monetary.monetary_expansion_direction,monetary.central_bank_independence,fiscal.transfer_expansion	aligned	Home turf — claim is exactly the Austrian/sound-money prediction; no fix needed.
austrian	chile_vs_venezuela_divergence_1999_2023	institutional.property_rights,regulatory.product_market_competition,regulatory.trade_openness,monetary.central_bank_independence	aligned	Home turf — market-institutional path beating Chavismo is the Austrian prediction.
austrian	hyperinflation_requires_fiscal_dominance	monetary.monetary_expansion_direction,monetary.central_bank_independence	aligned	Home turf — Austrian agrees fiscal dominance drives hyperinflation; chicago and Austrian co-own this claim.
austrian	argentina_peronism_recurring_fiscal_inflation_cycle_1945_2023	monetary.monetary_expansion_direction,monetary.central_bank_independence,fiscal.spending_level	aligned	Home turf — recurring fiscal-monetary inflation cycle is Austrian-canonical.
austrian	zimbabwe_hyperinflation_land_reform_output_collapse_2000_2009	monetary.monetary_expansion_direction,institutional.property_rights,monetary.central_bank_independence	aligned	Home turf — property-rights destruction + monetisation → collapse is Austrian-canonical.
austrian	resource_extractor_nationalisation_reduces_output	institutional.property_rights,regulatory.product_market_competition,fiscal.spending_level	aligned	Home turf — nationalisation reduces output is Austrian prediction.
austrian	abenomics_monetary_fiscal_coordination_effect	monetary.monetary_expansion_direction,fiscal.spending_level,monetary.central_bank_independence,fiscal.transfer_expansion	opposition_framed	Claim presupposes NK ZLB-trap framework; Austrians reject ZLB-trap framing entirely. Add parallel Austrian hypothesis: monetary-fiscal coordination distorts capital structure / sows future malinvestment.
austrian	zimbabwe_property_rights_output_link	monetary.monetary_expansion_direction,institutional.property_rights,monetary.central_bank_independence	aligned	Home turf — institutional-rights-first framing matches Austrian view.
austrian	china_deng_reform_growth_acceleration_1978	institutional.property_rights,regulatory.product_market_competition,regulatory.trade_openness,fiscal.spending_level	aligned	Home turf — market liberalisation → growth.
austrian	fiscal_multipliers_zlb_higher_than_normal_regime	fiscal.spending_level,monetary.monetary_expansion_direction,fiscal.transfer_expansion	opposition_framed	Hypothesis is NK/PK in framing — accepting "ZLB makes multipliers larger" requires accepting NK framework Austrians reject. Add Austrian parallel: even at ZLB, fiscal expansion misallocates real resources and produces eventual cost-push inflation.
austrian	uk_truss_mini_budget_currency_sovereign_mechanism	fiscal.spending_level,monetary.central_bank_independence,fiscal.transfer_expansion	aligned	Anti-MMT framing — Austrians win on this regardless: market discipline reasserts itself.
austrian	soviet_union_central_planning_gdp_collapse_1989_1991	monetary.monetary_expansion_direction,regulatory.product_market_competition,fiscal.transfer_expansion	aligned	Home turf — central planning collapse is Austrian-Mises canonical (calculation problem).
