position_id	claim_index	linked_hypothesis_id	verdict	flags	reasons	school_prediction	current_polarity	claim_years_range	claim_countries	hyp_period	hyp_countries_count	claim_outcomes	hyp_outcomes	claim_entities	hyp_entities	claim_text	llm_score	llm_verdict	llm_reason	combined_verdict
austrian	0	m2_expansion_correlates_with_asset_price_inflation	PASS			supported	aligned			2008-2025	10	financial_crisis,inflation	financial_crisis,inflation,monetary_policy			Monetary expansion produces asset price inflation with a lag across developed economies.	3	match	Claim on monetary expansion to asset price inflation with lag across developed economies matches hypothesis precisely.	PASS
austrian	1	hyperinflation_requires_fiscal_dominance	PASS			supported	aligned			1900-2025	14	inflation	inflation,monetary_policy		zimbabwe_hyperinflation	Hyperinflation requires fiscal dominance as root cause.	3	match	Claim on hyperinflation requiring fiscal dominance maps exactly onto hypothesis testing this across canonical episodes 1900-2025.	PASS
austrian	2	fiat_expansion_erodes_currency_purchasing_power_long_run	PASS			supported	aligned			1971-2025	7					Fiat currencies lose purchasing power against hard assets over long horizons.	3	match	Claim on fiat currency purchasing power loss against hard assets matches hypothesis on post-1971 fiat erosion exactly.	PASS
austrian	3	post_soviet_market_reform_life_expectancy	PASS			supported	aligned		RUS	1989-2019	20	health_mortality	health_mortality		covid	Countries that rapidly adopted market reforms after the fall of the Soviet Union experienced better long-run life expectancy than countries that retained state-socialist structures.	3	match	Claim on post-Soviet fast vs slow reformer life expectancy gap matches hypothesis period, geography, and outcome precisely.	PASS
austrian	4	venezuela_chavismo_framework_validation	FAIL	OUTCOME_MISMATCH	claim outcomes ['privatisation'] disjoint from hypothesis outcomes ['institutional_quality']	supported	aligned	1999-2013	USA,VEN	1996-2023	7	privatisation	institutional_quality	chavez,chavismo	chavez,chavismo,maduro	Venezuelan Chavismo-era policy (nationalisation + price controls + FX controls + monetary-fiscal fusion) produced systematic economic collapse relative to Latin American commodity-exporter peers.	2	partial	Claim specifies nationalisation/price/FX controls producing collapse vs peers; hypothesis tests GDP divergence with institutional channel — related but narrower outcome framing.	FAIL
austrian	5	argentina_default_collapse_output_effects	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1989-2001	ARG,AUT		0			menem	menem	Argentine convertibility and subsequent collapse (Menem 1991–2001) reflects rule-based money's appeal combined with fixed-regime rigidity risk that Austrian theory predicts.	3	match	Hypothesis claim text is verbatim identical to claim text — tautological match on Menem convertibility collapse.	REVIEW
austrian	6	qe_asset_inflation_vs_cpi_divergence_post_2008	PASS			supported	aligned	2008-2022		2008-2023	8	inflation	inflation,monetary_policy	qe	qe	Post-2008 QE programmes produced asset-price inflation without proportional consumer-price inflation — a specific empirical pattern consistent with ABCT's weaker form.	3	match	Claim on post-2008 QE asset-price vs CPI divergence matches hypothesis on same divergence across Fed/ECB/BoE/BoJ 2008-2023 precisely.	PASS
austrian	7	central_bank_independence_inflation_discipline	PASS			supported	aligned			1990-2023	29	inflation,monetary_policy	inflation,trade_liberalisation			Countries maintaining central bank independence experience fewer hyperinflation episodes than countries where monetary policy is subordinated to fiscal needs.	3	match	Claim on central bank independence and hyperinflation-avoidance maps onto hypothesis testing CBI-inflation relationship across countries 1990-2023.	PASS
austrian	8	procyclical_fiscal_expansion_boom_bust	PASS			supported	aligned	1997-2015	ARG,GBR	1995-2023	34		gdp_growth,trade_liberalisation	blair,kirchner	blair,kirchner	Unfunded government fiscal expansions during boom periods (as in Blair–Brown 2001–2007 UK and Kirchner Argentina 2003–2015) produce subsequent structural fiscal weakness.	3	match	Claim names Blair-Brown UK and Kirchner Argentina procyclical fiscal expansion; hypothesis lists exactly these canonical cases with matching mechanism.	PASS
austrian	9	hyperinflation_requires_fiscal_dominance	PASS			supported	aligned	2000-2008	ZWE	1900-2025	14	inflation,monetary_policy	inflation,monetary_policy	zimbabwe_hyperinflation	zimbabwe_hyperinflation	Zimbabwe's 2000–2008 land-reform-plus-monetisation episode produced hyperinflation because the central bank monetised fiscal deficits once property-right expropriation collapsed the tax base — an instance of fiscal dominance.	3	match	Claim on Zimbabwe land-reform monetisation hyperinflation as fiscal-dominance instance maps onto hypothesis listing Zimbabwe 2000s exactly.	PASS
austrian	10	argentina_default_collapse_output_effects	REVIEW	GEO_UNVERIFIABLE,OUTCOME_UNVERIFIABLE	hypothesis has no sample.countries list; no outcome keywords detected in hypothesis; claim mentions ['inflation']	supported	aligned	1989-2001	AUT		0	inflation		menem	menem	Menem's 1991–2001 currency board succeeded at controlling inflation while rigid, but collapsed when fiscal profligacy at provincial level produced debt-service costs the fixed regime could not absorb — vindicating the Austrian warning that rule-based money cannot substitute for fiscal discipline.	3	match	Claim on Menem currency board success and fiscal-collapse is verbatim echoed by hypothesis — tautological match.	REVIEW
austrian	11	argentina_default_collapse_output_effects	FAIL	GEO_UNVERIFIABLE,OUTCOME_UNVERIFIABLE,POLICY_NAMED_ABSENT	hypothesis has no sample.countries list; no outcome keywords detected in hypothesis; claim mentions ['inflation', 'monetary_policy']; claim references ['milei'] — not found in hypothesis text (hyp entities: ['menem'])	supported	aligned	2023-2027	ARG		0	inflation,monetary_policy		milei	menem	Milei's 2023–2024 fiscal-first shock therapy (eliminating primary deficit, ending central bank deficit monetisation) will show faster inflation stabilisation than any prior Argentine programme that tried price controls or heterodox stabilisation first.	1	tangential	Claim names Milei 2023-2024 disinflation vs prior programmes; hypothesis tests Menem 1991-2001 convertibility collapse — named-entity and era mismatch.	FAIL
austrian	12	price_controls_shortage_effect	PASS			supported	aligned	1999-2013	AUT,VEN	1970-2023	4		inflation,regulatory	chavez,chavismo	chavez,chavismo,gorbachev,kirchner	Soviet and Chavismo-era Venezuelan price controls produced the specific pattern Austrian calculation-debate theory predicts: shortages, quality degradation, black markets, and producer exit — not merely distributional effects.	3	match	Claim on Soviet and Chavismo price controls producing shortage pattern matches hypothesis canonical cases (Venezuela, USSR) and outcome signature exactly.	PASS
austrian	13	fiat_expansion_erodes_currency_purchasing_power_long_run	FAIL	ERA_MISMATCH,OUTCOME_UNVERIFIABLE	claim refers to 1914-1914; hypothesis period 1971-2025; no outcome keywords detected in hypothesis; claim mentions ['inflation', 'welfare_state']	supported	aligned	1914-1914		1971-2025	7	inflation,welfare_state				Pre-1914 classical-gold-standard episodes (excluding wartime suspensions) show lower long-run average inflation than any comparable-length fiat-regime sample, even if short-run price-level volatility is higher.	1	tangential	Pre-1914 classical gold standard vs fiat inflation claim falls outside hypothesis's post-1971 period — era mismatch.	FAIL
austrian	14	milei_reforms_reduce_argentine_inflation	PASS			supported	aligned	2023-2027	ARG,AUT	2018-2027	1	inflation	inflation	milei	menem,milei	Milei's fiscal-first stabilisation produces monthly Argentine CPI inflation below 5% m/m within 12 months and below 3% m/m within 18 months of inauguration, faster than any prior non-dollarisation LatAm stabilisation, vindicating the Austrian fiscal-dominance-removal reading of disinflation.	3	match	Claim on Milei fiscal-first producing sub-5% m/m within 12 months and sub-3% within 18 months matches hypothesis thresholds precisely.	PASS
austrian	15	maduro_era_venezuelan_collapse_decomposition_2013_2023	PASS			supported	aligned	2013-2024	USA,VEN	2005-2023	7		inflation	maduro	maduro	The 2013-2023 Maduro-era Venezuelan cumulative >70% output collapse is predominantly driven by domestic monetary-fiscal fusion and political-destabilisation channels rather than by the exogenous oil shock or US sanctions alone; the institutional channel is load-bearing.	3	match	Claim on Maduro-era collapse decomposition (domestic monetary-fiscal vs oil/sanctions) matches hypothesis four-channel decomposition exactly.	PASS
