row_id	llm_score	llm_verdict	llm_reason
100	3	match	claim text is identical to hypothesis claim, same policy era scope and outcome
101	3	match	claim text is identical to hypothesis claim, same transport-emissions proposition
102	3	match	claim text is identical to hypothesis claim on China renewables learning curve
103	3	match	claim text is identical to hypothesis claim on voluntary carbon markets abatement
104	3	match	claim text is identical to hypothesis claim on LatAm resource nationalisation outcomes
105	3	match	claim text is identical to hypothesis claim on fossil-firm reserves vs carbon budget
106	3	match	claim text is identical to hypothesis claim on EU Green Deal vs ETS mechanism
107	1	tangential	generality gap; claim is abstract rule about intervention vs markets, hypothesis is Nordic-specific decomposition
108	2	partial	related outcome but claim asserts Nordic transplant failure while hypothesis compares forced-saving vs universal-transfer architectures
109	2	partial	related institutional-quality theme but claim specifies trade liberalisation while hypothesis tests rule-of-law→growth generally
110	1	tangential	era and entity mismatch; Volcker 1979-82 falls outside 1990-2023 panel with no Volcker-specific test
111	3	match	claim text is identical to hypothesis claim on industrial-policy governance conditionality
112	2	partial	outcome overlap on QE asset/CPI divergence but claim adds conditional regime-credibility proposition hypothesis does not test
113	2	partial	hypothesis covers 1973-81 US petroleum controls near Nixon episode but the specific 1971 Nixon wage-price freeze is not canonical case
114	3	match	claim on CBI-inflation relationship aligns with hypothesis CBI-inflation panel test
115	2	partial	overlapping country set and welfare theme but claim adds state-capacity interaction hypothesis does not test
116	3	match	claim text is identical to hypothesis claim on shock-therapy institutional preconditions
117	1	tangential	entity and generality gap; Macron-specific French claim vs generic cross-country EPL-duration panel
118	3	match	claim text is identical to hypothesis claim on state-dependent fiscal multipliers
119	3	match	claim text is identical to hypothesis claim on IRA/CHIPS industrial-policy effectiveness
120	2	partial	same Clinton 1996 reform but claim asserts labour-market conditionality counterfactual while hypothesis tests direct LFP/caseload effect
121	3	match	claim text is identical to hypothesis claim on Nordic institutional decomposition
122	3	match	claim and hypothesis both assert Nordic outcomes decompose into institutional contributions
123	3	match	claim and hypothesis both attribute US-EU GDP gap to policy/institutional channels not demographics
124	3	match	claim text is identical to hypothesis claim on colonial institutions and post-independence growth
125	3	match	claim text is identical to hypothesis claim on Korean division natural experiment
126	2	partial	developmentalist theme aligned but claim is Korea-Park specific while hypothesis tests cross-country East Asian developmentalist panel
127	3	match	claim text is identical to hypothesis claim on Singapore CPF institutional complementarity
128	3	match	claim text is identical to hypothesis claim on post-Soviet transition institutional variation
129	3	match	claim text is identical to hypothesis claim on Chilean post-1990 institutional premium
130	2	partial	era partially mismatched; claim starts post-1980 OECD while hypothesis panel is 1990-2023
131	2	partial	same Venezuela focus but claim asserts institutional deterioration causal mechanism while hypothesis tests GDP-divergence magnitude
132	3	match	claim text is identical to hypothesis claim on Zimbabwe property-rights and output collapse
133	3	match	claim text is identical to hypothesis claim on UK 1997 institutional reform and macro stability
134	3	match	claim text is identical to hypothesis claim on Botswana institutional exceptionalism
135	3	match	claim text is identical to hypothesis claim on Argentina institutional instability decline
136	3	match	claim text is identical to hypothesis claim on NZ Rogernomics institutional complements
137	3	match	claim on market-respecting distribution aligns with hypothesis on forced-saving architecture vs tax-transfer redistribution
138	3	match	claim on autonomy-preserving nationalisation output-neutrality is the exact contrast case in hypothesis test
139	3	match	claim text is identical to hypothesis claim on Yugoslav self-management productivity
140	3	match	claim text is identical to hypothesis claim on Mondragón cooperative resilience
141	3	match	claim text is identical to hypothesis claim on Meidner wage-earner funds capital flight
142	3	match	claim and hypothesis both test Chinese SOE reform outperforming Eastern European privatisation path
143	3	match	claim text is identical to hypothesis claim on Norway GPFG resource curse avoidance
144	3	match	claim text is identical to hypothesis claim on Emilia-Romagna cooperative employment resilience
145	3	match	claim text is identical to hypothesis claim on US ESOP firm survival and productivity
146	3	match	claim text is identical to hypothesis claim on Russia-China transition comparison
147	3	match	claim text is identical to hypothesis claim on Singapore Temasek public ownership efficiency
148	3	match	claim text is identical to hypothesis claim on worker cooperative conversion employment preservation
149	3	match	claim text is identical to hypothesis claim on Mitterrand nationalisation efficiency
