priority,country,country_iso3,movement_id_if_available,current_alignment_value,current_active_years,proposed_subtype,confidence,reason,recommended_episode_split,enter_clean_comparator_model
1,"Kuwait","KWT","kuwait_oil_welfare_state_1961_present","partial 0.5; mean 0.500","1961-2026","mixed","High","Largest treated window and explicit oil welfare/SWF compact but weak industrial policy content.","Split 1961-1970 fallback/pre-WDI; 1971-1990 oil welfare buildout; 1991-2020 post-invasion rentier welfare; 2021-2026 fallback.","No"
2,"United Arab Emirates","ARE","uae_emirate_state_capitalism_1971_present; uae_zayed_consolidation_1976_1990; uae_zayed_oil_price_collapse_response_1985_1995; uae_zayed_late_era_1995_2004; uae_khalifa_early_era_2004_2014; uae_khalifa_global_financial_crisis_2008_2010; uae_mbz_crown_prince_era_2014_2022; uae_mbz_presidency_2022_present","mostly aligned 1.0; umbrella mean 1.000","1971-2026","resource_developmentalist","Medium-high","Sovereign-directed diversification and free-zone state capitalism are real but should not be pooled with socialist oil states.","Split 1971-1975 federation start; 1976-1990 Zayed consolidation; 1985-1995 oil-price response; 1995-2004 free-zone expansion; 2004-2014 Khalifa/Dubai crisis; 2014-2022 MBZ; 2022-2026 fallback.","No; treated arm"
3,"Papua New Guinea","PNG","papua_new_guinea_independence_resource_state_1975_present","partial 0.5; mean 0.500","1975-2026","mixed","High","Resource dependence is explicit but fragmented politics and customary land constraints make the scalar misleading.","Split 1975-1988 state formation; 1989-2002 Bougainville/conflict and mineral disruption; 2003-2014 LNG/mining project state; 2015-2020 commodity downturn; 2021-2026 fallback.","No"
4,"Iran","IRN","iran_shah_pahlavi_late_era_1976_1979; iran_khomeini_revolutionary_consolidation_1979_1989; iran_revolution_islamic_economy_1979_present; iran_rafsanjani_pragmatist_1989_1997; iran_khatami_reformist_1997_2005; iran_ahmadinejad_principlist_2005_2013; iran_rouhani_moderate_2013_2021; iran_raisi_conservative_2021_2024; iran_pezeshkian_reformist_2024_present","mixed aligned/partial; umbrella partial 0.5 with mean 1.000","1976-2026","mixed","High","Oil statism is real but revolution war sanctions privatisation reformist phases and principlist redistribution are separate mechanisms.","Split 1976-1979 late Pahlavi oil modernisation; 1979-1989 revolution/war nationalisation; 1989-1997 reconstruction; 1997-2005 reform liberalisation; 2005-2013 oil redistribution/sanctions; 2013-2021 JCPOA phase; 2021-2026 resistance/fallback.","No"
5,"Nigeria","NGA","nigeria_obasanjo_military_first_1976_1979; nigeria_babangida_military_1985_1993; nigeria_abacha_military_1993_1998; nigeria_obasanjo_pdp_civilian_1999_2007; nigeria_yaradua_pdp_2007_2010; nigeria_jonathan_pdp_2010_2015; nigeria_buhari_apc_civilian_2015_2023","mostly partial 0.5; values 0.500-1.000","1976-1978; 1986-2023","mixed","High","Oil-rent politics are central but episodes alternate among military dirigisme SAP liberalisation kleptocracy civilian reform oil-boom fiscal expansion and Buhari nationalism.","Split 1976-1979 military transition; 1986-1993 SAP; 1993-1998 Abacha dirigisme/predation; 1999-2007 civilian reform; 2007-2015 oil-boom civilian phases; 2017-2023 Buhari nationalism.","No"
6,"Venezuela","VEN","venezuela_perez_first_term_1974_1979; venezuela_herrera_copei_1979_1984; venezuela_chavismo_bolivarian_1999_present","Perez aligned 1.0; Herrera partial 0.5; Chavismo aligned 1.0","1974-1984; 1999-2026","resource_nationalisation_shock plus resource_statist_socialist","High","Perez is an oil-boom nationalisation/borrowing shock Herrera is debt unwind and Chavismo is a separate 21st-century socialist oil-statist regime.","Split 1974-1979 Perez shock; 1979-1984 debt/oil reversal; 1999-2002 early Chavismo; 2003-2012 PDVSA/FX-control consolidation; 2013-2020 Maduro collapse; 2021-2026 fallback.","No"
7,"Saudi Arabia","SAU","saudi_khalid_1975_1982; saudi_abdullah_de_facto_crown_prince_1995_2005; saudi_abdullah_late_era_2005_2015; saudi_salman_transition_2015_2017; saudi_vision_2030_2016_present; saudi_mbs_cp_era_2017_present","mostly aligned 1.0; Abdullah late partial 0.5","1975-1981; 1996-2026","resource_developmentalist","Medium-high","Oil-funded public investment and diversification programmes are real but welfare monarchy and Vision 2030 should be distinct episodes.","Split 1975-1981 high-rent state-capitalist buildout; 1996-2005 cautious liberalisation; 2005-2015 welfare/investment expansion; 2015-2017 transition; 2016-2026 Vision 2030; 2017-2026 MBS consolidation/fallback.","No; treated arm"
8,"Indonesia","IDN","indonesia_suharto_new_order_1965_1998; indonesia_suharto_oil_boom_1976_1985; indonesia_suharto_deregulation_paket_1988_1996; indonesia_megawati_pdip_2001_2004; indonesia_jokowi_pdip_2014_2024; indonesia_prabowo_2024_present","New Order aligned 1.0; Megawati partial 0.5; modern rows aligned 1.0","1966-1969; 1973-1998; 2001-2004; 2021-2026","resource_developmentalist","High","Strongest core resource-developmentalist case especially oil-boom state investment and post-oil technocratic export diversification.","Split 1966-1972 consolidation/pre-oil fallback; 1973-1985 oil-boom allocation; 1986-1998 post-oil deregulation and crisis; 2001-2004 decentralised stabilisation; 2014-2024 downstreaming; 2024-2026 fallback.","No; treated arm"
9,"Malaysia","MYS","malaysia_hussein_onn_1976_1981; malaysia_mahathir_first_term_1981_1988; malaysia_mahathir_bumiputera_development_1981_2003; malaysia_mahathir_wawasan_2020_era_1991_1998; malaysia_abdullah_badawi_umno_2003_2009; malaysia_muhyiddin_pn_2020_2021; malaysia_ismail_sabri_umno_2021_2022; malaysia_anwar_unity_2022_present","mostly aligned 1.0; recent rows partial 0.5","1976-2009; 2021-2026","resource_developmentalist","Medium","State-led industrialisation is clear but many resource years are WDI-threshold driven and need confirmation that petroleum/commodity rents funded policy.","Split 1976-1981 NEP consolidation; 1981-1990 Mahathir heavy industry; 1991-1998 Wawasan/export manufacturing and crisis; 1999-2009 post-crisis continuation; 2020-2026 pandemic/fallback.","No; treated arm after resource-channel review"
10,"Syria","SYR","syria_baath_assad_statist_regime_1963_2000","partial 0.5; mean 0.500","1963-1969; 1974-1985; 1988-1997; 2000","resource_statist_socialist / mixed","Medium","Ba'athist statism is real but resource linkage is partly WDI-threshold driven and the window is a broad regime umbrella.","Split 1963-1969 fallback/pre-WDI statism; 1974-1985 oil-relevant public-sector phase; 1988-1997 oil/fiscal stress phase; 2000 singleton review.","No unless oil-relevant statist years are isolated as treated arm"
